TITLE = "CAX8R_SPHERE"
VARIABLES =    "X"   "Y"   "Z" "DIS"
     13.3504     10.5246      0.0000      0.0000
     14.1357     11.1437      0.0000      0.0000
     14.9210     11.7628      0.0000      0.0000
     15.7063     12.3819      0.0000      0.0000
      7.6041      6.4945      0.0000      0.0000
      7.9843      6.8192      0.0000      0.0000
      8.3645      7.1439      0.0000      0.0000
      8.7447      7.4687      0.0000      0.0000
      9.1249      7.7934      0.0000      0.0000
      9.5051      8.1181      0.0000      0.0000
      9.8853      8.4428      0.0000      0.0000
     10.2655      8.7675      0.0000      0.0000
     10.6457      9.0923      0.0000      0.0000
     11.0259      9.4170      0.0000      0.0000
     11.4061      9.7417      0.0000      0.0000
     11.7863     10.0664      0.0000      0.0000
     12.1665     10.3912      0.0000      0.0000
     12.5467     10.7159      0.0000      0.0000
     12.9269     11.0406      0.0000      0.0000
     13.3071     11.3653      0.0000      0.0000
     13.6873     11.6901      0.0000      0.0000
     14.0675     12.0148      0.0000      0.0000
     14.4477     12.3395      0.0000      0.0000
     14.8279     12.6642      0.0000      0.0000
     15.2081     12.9890      0.0000      0.0000
      7.3432      6.7880      0.0000      0.0000
      8.0775      7.4668      0.0000      0.0000
      8.8119      8.1456      0.0000      0.0000
      9.5462      8.8244      0.0000      0.0000
     10.2805      9.5032      0.0000      0.0000
     11.0148     10.1820      0.0000      0.0000
     11.7492     10.8608      0.0000      0.0000
     12.4835     11.5396      0.0000      0.0000
     13.2178     12.2184      0.0000      0.0000
     13.9521     12.8972      0.0000      0.0000
     14.6865     13.5760      0.0000      0.0000
      7.0711      7.0711      0.0000      0.0000
      7.4246      7.4246      0.0000      0.0000
      7.7782      7.7782      0.0000      0.0000
      8.1317      8.1317      0.0000      0.0000
      8.4853      8.4853      0.0000      0.0000
      8.8388      8.8388      0.0000      0.0000
      9.1924      9.1924      0.0000      0.0000
      9.5459      9.5459      0.0000      0.0000
      9.8995      9.8995      0.0000      0.0000
     10.2530     10.2530      0.0000      0.0000
     10.6066     10.6066      0.0000      0.0000
     10.9602     10.9602      0.0000      0.0000
     11.3137     11.3137      0.0000      0.0000
     11.6673     11.6673      0.0000      0.0000
     12.0208     12.0208      0.0000      0.0000
     12.3744     12.3744      0.0000      0.0000
     12.7279     12.7279      0.0000      0.0000
     13.0815     13.0815      0.0000      0.0000
     13.4350     13.4350      0.0000      0.0000
     13.7886     13.7886      0.0000      0.0000
     14.1421     14.1421      0.0000      0.0000
      6.7880      7.3432      0.0000      0.0000
      7.4668      8.0775      0.0000      0.0000
      8.1456      8.8119      0.0000      0.0000
      8.8244      9.5462      0.0000      0.0000
      9.5032     10.2805      0.0000      0.0000
     10.1820     11.0148      0.0000      0.0000
     10.8608     11.7492      0.0000      0.0000
     11.5396     12.4835      0.0000      0.0000
     12.2184     13.2178      0.0000      0.0000
     12.8972     13.9521      0.0000      0.0000
     13.5760     14.6865      0.0000      0.0000
      6.4945      7.6041      0.0000      0.0000
      6.8192      7.9843      0.0000      0.0000
      7.1439      8.3645      0.0000      0.0000
      7.4687      8.7447      0.0000      0.0000
      7.7934      9.1249      0.0000      0.0000
      8.1181      9.5051      0.0000      0.0000
      8.4428      9.8853      0.0000      0.0000
      8.7675     10.2655      0.0000      0.0000
      9.0923     10.6457      0.0000      0.0000
      9.4170     11.0259      0.0000      0.0000
      9.7417     11.4061      0.0000      0.0000
     10.0664     11.7863      0.0000      0.0000
     10.3912     12.1665      0.0000      0.0000
     10.7159     12.5467      0.0000      0.0000
     11.0406     12.9269      0.0000      0.0000
     11.3653     13.3071      0.0000      0.0000
     11.6901     13.6873      0.0000      0.0000
     12.0148     14.0675      0.0000      0.0000
     12.3395     14.4477      0.0000      0.0000
     12.6642     14.8279      0.0000      0.0000
     12.9890     15.2081      0.0000      0.0000
      6.1909      7.8532      0.0000      0.0000
      6.8100      8.6385      0.0000      0.0000
      7.4291      9.4238      0.0000      0.0000
      8.0482     10.2091      0.0000      0.0000
      8.6673     10.9944      0.0000      0.0000
      9.2864     11.7798      0.0000      0.0000
      9.9055     12.5651      0.0000      0.0000
     10.5246     13.3504      0.0000      0.0000
     11.1437     14.1357      0.0000      0.0000
     11.7628     14.9210      0.0000      0.0000
     12.3819     15.7063      0.0000      0.0000
      5.8779      8.0902      0.0000      0.0000
      6.1717      8.4947      0.0000      0.0000
      6.4656      8.8992      0.0000      0.0000
      6.7595      9.3037      0.0000      0.0000
      7.0534      9.7082      0.0000      0.0000
      7.3473     10.1127      0.0000      0.0000
      7.6412     10.5172      0.0000      0.0000
      7.9351     10.9217      0.0000      0.0000
      8.2290     11.3262      0.0000      0.0000
      8.5229     11.7307      0.0000      0.0000
      8.8168     12.1353      0.0000      0.0000
      9.1107     12.5398      0.0000      0.0000
      9.4046     12.9443      0.0000      0.0000
      9.6985     13.3488      0.0000      0.0000
      9.9923     13.7533      0.0000      0.0000
     10.2862     14.1578      0.0000      0.0000
     10.5801     14.5623      0.0000      0.0000
     10.8740     14.9668      0.0000      0.0000
     11.1679     15.3713      0.0000      0.0000
     11.4618     15.7758      0.0000      0.0000
     11.7557     16.1803      0.0000      0.0000
      5.5557      8.3147      0.0000      0.0000
      6.1113      9.1462      0.0000      0.0000
      6.6668      9.9776      0.0000      0.0000
      7.2224     10.8091      0.0000      0.0000
      7.7780     11.6406      0.0000      0.0000
      8.3336     12.4720      0.0000      0.0000
      8.8891     13.3035      0.0000      0.0000
      9.4447     14.1350      0.0000      0.0000
     10.0003     14.9665      0.0000      0.0000
     10.5558     15.7979      0.0000      0.0000
     11.1114     16.6294      0.0000      0.0000
      5.2250      8.5264      0.0000      0.0000
      5.4862      8.9527      0.0000      0.0000
      5.7475      9.3790      0.0000      0.0000
      6.0087      9.8054      0.0000      0.0000
      6.2700     10.2317      0.0000      0.0000
      6.5312     10.6580      0.0000      0.0000
      6.7925     11.0843      0.0000      0.0000
      7.0537     11.5106      0.0000      0.0000
      7.3150     11.9370      0.0000      0.0000
      7.5762     12.3633      0.0000      0.0000
      7.8375     12.7896      0.0000      0.0000
      8.0987     13.2159      0.0000      0.0000
      8.3600     13.6422      0.0000      0.0000
      8.6212     14.0686      0.0000      0.0000
      8.8825     14.4949      0.0000      0.0000
      9.1437     14.9212      0.0000      0.0000
      9.4050     15.3475      0.0000      0.0000
      9.6662     15.7738      0.0000      0.0000
      9.9275     16.2002      0.0000      0.0000
     10.1887     16.6265      0.0000      0.0000
     10.4500     17.0528      0.0000      0.0000
      4.8862      8.7250      0.0000      0.0000
      5.3748      9.5975      0.0000      0.0000
      5.8635     10.4700      0.0000      0.0000
      6.3521     11.3424      0.0000      0.0000
      6.8407     12.2149      0.0000      0.0000
      7.3293     13.0874      0.0000      0.0000
      7.8179     13.9599      0.0000      0.0000
      8.3066     14.8324      0.0000      0.0000
      8.7952     15.7049      0.0000      0.0000
      9.2838     16.5774      0.0000      0.0000
      9.7724     17.4499      0.0000      0.0000
      4.5399      8.9101      0.0000      0.0000
      4.7669      9.3556      0.0000      0.0000
      4.9939      9.8011      0.0000      0.0000
      5.2209     10.2466      0.0000      0.0000
      5.4479     10.6921      0.0000      0.0000
      5.6749     11.1376      0.0000      0.0000
      5.9019     11.5831      0.0000      0.0000
      6.1289     12.0286      0.0000      0.0000
      6.3559     12.4741      0.0000      0.0000
      6.5829     12.9196      0.0000      0.0000
      6.8099     13.3651      0.0000      0.0000
      7.0369     13.8106      0.0000      0.0000
      7.2638     14.2561      0.0000      0.0000
      7.4908     14.7016      0.0000      0.0000
      7.7178     15.1471      0.0000      0.0000
      7.9448     15.5926      0.0000      0.0000
      8.1718     16.0381      0.0000      0.0000
      8.3988     16.4836      0.0000      0.0000
      8.6258     16.9291      0.0000      0.0000
      8.8528     17.3746      0.0000      0.0000
      9.0798     17.8201      0.0000      0.0000
      4.1866      9.0814      0.0000      0.0000
      4.6053      9.9896      0.0000      0.0000
      5.0239     10.8977      0.0000      0.0000
      5.4426     11.8059      0.0000      0.0000
      5.8612     12.7140      0.0000      0.0000
      6.2799     13.6221      0.0000      0.0000
      6.6986     14.5303      0.0000      0.0000
      7.1172     15.4384      0.0000      0.0000
      7.5359     16.3466      0.0000      0.0000
      7.9545     17.2547      0.0000      0.0000
      8.3732     18.1629      0.0000      0.0000
      3.8268      9.2388      0.0000      0.0000
      4.0182      9.7007      0.0000      0.0000
      4.2095     10.1627      0.0000      0.0000
      4.4009     10.6246      0.0000      0.0000
      4.5922     11.0866      0.0000      0.0000
      4.7835     11.5485      0.0000      0.0000
      4.9749     12.0104      0.0000      0.0000
      5.1662     12.4724      0.0000      0.0000
      5.3576     12.9343      0.0000      0.0000
      5.5489     13.3963      0.0000      0.0000
      5.7403     13.8582      0.0000      0.0000
      5.9316     14.3201      0.0000      0.0000
      6.1229     14.7821      0.0000      0.0000
      6.3143     15.2440      0.0000      0.0000
      6.5056     15.7060      0.0000      0.0000
      6.6970     16.1679      0.0000      0.0000
      6.8883     16.6298      0.0000      0.0000
      7.0796     17.0918      0.0000      0.0000
      7.2710     17.5537      0.0000      0.0000
      7.4623     18.0157      0.0000      0.0000
      7.6537     18.4776      0.0000      0.0000
      3.4612      9.3819      0.0000      0.0000
      3.8073     10.3201      0.0000      0.0000
      4.1534     11.2583      0.0000      0.0000
      4.4995     12.1965      0.0000      0.0000
      4.8456     13.1347      0.0000      0.0000
      5.1918     14.0729      0.0000      0.0000
      5.5379     15.0111      0.0000      0.0000
      5.8840     15.9493      0.0000      0.0000
      6.2301     16.8874      0.0000      0.0000
      6.5762     17.8256      0.0000      0.0000
      6.9223     18.7638      0.0000      0.0000
      3.0902      9.5106      0.0000      0.0000
      3.2447      9.9861      0.0000      0.0000
      3.3992     10.4616      0.0000      0.0000
      3.5537     10.9371      0.0000      0.0000
      3.7082     11.4127      0.0000      0.0000
      3.8627     11.8882      0.0000      0.0000
      4.0172     12.3637      0.0000      0.0000
      4.1717     12.8393      0.0000      0.0000
      4.3262     13.3148      0.0000      0.0000
      4.4807     13.7903      0.0000      0.0000
      4.6353     14.2658      0.0000      0.0000
      4.7898     14.7414      0.0000      0.0000
      4.9443     15.2169      0.0000      0.0000
      5.0988     15.6924      0.0000      0.0000
      5.2533     16.1680      0.0000      0.0000
      5.4078     16.6435      0.0000      0.0000
      5.5623     17.1190      0.0000      0.0000
      5.7168     17.5945      0.0000      0.0000
      5.8713     18.0701      0.0000      0.0000
      6.0258     18.5456      0.0000      0.0000
      6.1803     19.0211      0.0000      0.0000
      2.7144      9.6246      0.0000      0.0000
      2.9858     10.5870      0.0000      0.0000
      3.2573     11.5495      0.0000      0.0000
      3.5287     12.5119      0.0000      0.0000
      3.8002     13.4744      0.0000      0.0000
      4.0716     14.4368      0.0000      0.0000
      4.3430     15.3993      0.0000      0.0000
      4.6145     16.3617      0.0000      0.0000
      4.8859     17.3242      0.0000      0.0000
      5.1574     18.2866      0.0000      0.0000
      5.4288     19.2491      0.0000      0.0000
      2.3345      9.7237      0.0000      0.0000
      2.4512     10.2099      0.0000      0.0000
      2.5679     10.6961      0.0000      0.0000
      2.6846     11.1823      0.0000      0.0000
      2.8013     11.6684      0.0000      0.0000
      2.9181     12.1546      0.0000      0.0000
      3.0348     12.6408      0.0000      0.0000
      3.1515     13.1270      0.0000      0.0000
      3.2682     13.6132      0.0000      0.0000
      3.3850     14.0994      0.0000      0.0000
      3.5017     14.5855      0.0000      0.0000
      3.6184     15.0717      0.0000      0.0000
      3.7351     15.5579      0.0000      0.0000
      3.8518     16.0441      0.0000      0.0000
      3.9686     16.5303      0.0000      0.0000
      4.0853     17.0165      0.0000      0.0000
      4.2020     17.5027      0.0000      0.0000
      4.3187     17.9888      0.0000      0.0000
      4.4355     18.4750      0.0000      0.0000
      4.5522     18.9612      0.0000      0.0000
      4.6689     19.4474      0.0000      0.0000
      1.9509      9.8079      0.0000      0.0000
      2.1460     10.7886      0.0000      0.0000
      2.3411     11.7694      0.0000      0.0000
      2.5362     12.7502      0.0000      0.0000
      2.7313     13.7310      0.0000      0.0000
      2.9264     14.7118      0.0000      0.0000
      3.1214     15.6926      0.0000      0.0000
      3.3165     16.6733      0.0000      0.0000
      3.5116     17.6541      0.0000      0.0000
      3.7067     18.6349      0.0000      0.0000
      3.9018     19.6157      0.0000      0.0000
      1.5643      9.8769      0.0000      0.0000
      1.6426     10.3707      0.0000      0.0000
      1.7208     10.8646      0.0000      0.0000
      1.7990     11.3584      0.0000      0.0000
      1.8772     11.8523      0.0000      0.0000
      1.9554     12.3461      0.0000      0.0000
      2.0336     12.8399      0.0000      0.0000
      2.1119     13.3338      0.0000      0.0000
      2.1901     13.8276      0.0000      0.0000
      2.2683     14.3215      0.0000      0.0000
      2.3465     14.8153      0.0000      0.0000
      2.4247     15.3092      0.0000      0.0000
      2.5030     15.8030      0.0000      0.0000
      2.5812     16.2969      0.0000      0.0000
      2.6594     16.7907      0.0000      0.0000
      2.7376     17.2845      0.0000      0.0000
      2.8158     17.7784      0.0000      0.0000
      2.8940     18.2722      0.0000      0.0000
      2.9723     18.7661      0.0000      0.0000
      3.0505     19.2599      0.0000      0.0000
      3.1287     19.7538      0.0000      0.0000
      1.1754      9.9307      0.0000      0.0000
      1.2929     10.9238      0.0000      0.0000
      1.4104     11.9168      0.0000      0.0000
      1.5280     12.9099      0.0000      0.0000
      1.6455     13.9030      0.0000      0.0000
      1.7631     14.8960      0.0000      0.0000
      1.8806     15.8891      0.0000      0.0000
      1.9981     16.8822      0.0000      0.0000
      2.1157     17.8752      0.0000      0.0000
      2.2332     18.8683      0.0000      0.0000
      2.3507     19.8614      0.0000      0.0000
      0.7846      9.9692      0.0000      0.0000
      0.8238     10.4676      0.0000      0.0000
      0.8631     10.9661      0.0000      0.0000
      0.9023     11.4645      0.0000      0.0000
      0.9415     11.9630      0.0000      0.0000
      0.9807     12.4615      0.0000      0.0000
      1.0200     12.9599      0.0000      0.0000
      1.0592     13.4584      0.0000      0.0000
      1.0984     13.9568      0.0000      0.0000
      1.1377     14.4553      0.0000      0.0000
      1.1769     14.9538      0.0000      0.0000
      1.2161     15.4522      0.0000      0.0000
      1.2553     15.9507      0.0000      0.0000
      1.2946     16.4491      0.0000      0.0000
      1.3338     16.9476      0.0000      0.0000
      1.3730     17.4461      0.0000      0.0000
      1.4123     17.9445      0.0000      0.0000
      1.4515     18.4430      0.0000      0.0000
      1.4907     18.9414      0.0000      0.0000
      1.5300     19.4399      0.0000      0.0000
      1.5692     19.9383      0.0000      0.0000
      0.3926      9.9923      0.0000      0.0000
      0.4319     10.9915      0.0000      0.0000
      0.4711     11.9907      0.0000      0.0000
      0.5104     12.9900      0.0000      0.0000
      0.5496     13.9892      0.0000      0.0000
      0.5889     14.9884      0.0000      0.0000
      0.6282     15.9877      0.0000      0.0000
      0.6674     16.9869      0.0000      0.0000
      0.7067     17.9861      0.0000      0.0000
      0.7459     18.9854      0.0000      0.0000
      0.7852     19.9846      0.0000      0.0000
      0.0000     10.0000      0.0000      0.0000
      0.0000     10.5000      0.0000      0.0000
      0.0000     11.0000      0.0000      0.0000
      0.0000     11.5000      0.0000      0.0000
      0.0000     12.0000      0.0000      0.0000
      0.0000     12.5000      0.0000      0.0000
      0.0000     13.0000      0.0000      0.0000
      0.0000     13.5000      0.0000      0.0000
      0.0000     14.0000      0.0000      0.0000
      0.0000     14.5000      0.0000      0.0000
      0.0000     15.0000      0.0000      0.0000
      0.0000     15.5000      0.0000      0.0000
      0.0000     16.0000      0.0000      0.0000
      0.0000     16.5000      0.0000      0.0000
      0.0000     17.0000      0.0000      0.0000
      0.0000     17.5000      0.0000      0.0000
      0.0000     18.0000      0.0000      0.0000
      0.0000     18.5000      0.0000      0.0000
      0.0000     19.0000      0.0000      0.0000
      0.0000     19.5000      0.0000      0.0000
